NPI,NPPES Provider Last Name,NPPES Provider First Name,NPPES Provider ZIP Code,NPPES Provider State,Specialty Description,Total Claim Count,Distinct Opioid Count,Opioid Claim Count,Percent Opioid Claims
1912927658,AGGARWAL,SANJAY,065114403,CT,Internal Medicine,5798,3,186,3.21%
1447326871,AGGARWAL,AMITA,064801512,CT,Dentist,71,0,0,0%
1790729093,AGIN,ELLIOT,064603537,CT,Cardiology,4144,0,0,0%
1275893703,AGOCHUKWU,NNENAYA,065103220,CT,Student in an Organized Health Care Education/Training Program,95,1,20,21.05%
1609974047,AGOSTIN,DOMINICK,068973013,CT,Dentist,22,0,0,0%
1487090700,AGOSTO,ANARDI,060301234,CT,Student in an Organized Health Care Education/Training Program,88,0,0,0%
1952364465,AGRANOV,DOUGLAS,064433044,CT,Optometry,62,0,0,0%
1164797858,AGRAWAL,VISHAAL,066081913,CT,Dentist,53,0,0,0%
1144595414,AGRAWAL,MUGDHA,067082613,CT,Student in an Organized Health Care Education/Training Program,188,0,0,0%
1194775965,AGRESTA,THOMAS,061051207,CT,Family Practice,497,0,0,0%
1912977380,AGRO,CHRISTOPHER,060824521,CT,Optometry,366,0,0,0%
1184931404,AGUAYO,PATRICIA,065191124,CT,Psychiatry,53,0,0,0%
1861652349,AGUIAR,LIZA,061063322,CT,Student in an Organized Health Care Education/Training Program,40,0,0,0%
1811263981,AGUIAR,RUDXANDRA,068106099,CT,Student in an Organized Health Care Education/Training Program,73,0,0,0%
1740475649,AGUILAR,BEN HUR,068973012,CT,Internal Medicine,3489,3,53,1.52%
1477704971,AGUILAR-ZANATTA,JORGE,065103220,CT,Psychiatry,26,0,0,0%
1083722383,AHAMED,SULTAN,063551837,CT,General Surgery,12,0,0,0%
1619073210,AHASIC,AMY,065191304,CT,Pulmonary Disease,58,0,0,0%
1770566317,AHERN,JOANN,068104005,CT,Nurse Practitioner,12,0,0,0%
1356385868,AHERN,JAMES,068774029,CT,Family Practice,1941,4,47,2.42%
1487834917,AHERN LOCKWOOD,MONICA,066064201,CT,Internal Medicine,26,0,0,0%
1427140862,AHGHARI,SAEED,061181257,CT,Emergency Medicine,171,0,0,0%
1821191990,AHIMSA,JENNIFER,061202508,CT,Certified Nurse Midwife,41,0,0,0%
1164734372,AHMAD,ASHFAQ,068772843,CT,Dentist,65,0,0,0%
1255502191,AHMAD,AMIR,063602740,CT,Internal Medicine,100,0,0,0%
1396065645,AHMAD,IMAD,060301845,CT,Internal Medicine,598,0,0,0%
1013171628,AHMAD,USMAN,065103220,CT,Student in an Organized Health Care Education/Training Program,16,0,0,0%
1568672426,AHMAD,SHARJEEL,061202508,CT,Infectious Disease,2090,3,75,3.59%
1639515034,AHMAD,WAQAAR,066102805,CT,Student in an Organized Health Care Education/Training Program,24,0,0,0%
1679893069,AHMAD,ASIMA,065103220,CT,Student in an Organized Health Care Education/Training Program,17,0,0,0%
1023055506,AHMADIAN,FERESHTEH,068246072,CT,Internal Medicine,6342,4,133,2.1%
1235391756,AHMED,MOHAMED,068106099,CT,Internal Medicine,92,0,0,0%
1245210764,AHMED,SHEIKH,061083579,CT,Pediatric Medicine,3515,2,45,1.28%
1184692089,AHMED,ANEES,060404472,CT,Psychiatry,5017,0,0,0%
1174685556,AHMED,AMINA,068041306,CT,Obstetrics/Gynecology,18,0,0,0%
1104191444,AHMED,SAMEER,065103220,CT,Student in an Organized Health Care Education/Training Program,22,0,0,0%
1053536219,AHMED,IMDAD,065103220,CT,Internal Medicine,14,0,0,0%
1942427224,AHMED,MOIN,064603615,CT,Dentist,40,0,0,0%
1619260023,AHMED,ABDUL-AZIZ,067905026,CT,Student in an Organized Health Care Education/Training Program,28,0,0,0%
1639245848,AHMED,BATUL,06112,CT,Psychiatry,283,0,0,0%
1730219403,AHMED,IRSHAD,06112,CT,Psychiatry & Neurology,2454,0,0,0%
1750565016,AHN,KYUNG HEUP,065191625,CT,Psychiatry,43,0,0,0%
1699113050,AHN,CHANOOK,065103220,CT,Student in an Organized Health Care Education/Training Program,19,0,0,0%
1659431716,AHOLA,SAUL,06241,CT,Internal Medicine,58,0,0,0%
1124468350,AHRAM,HAYA,061051207,CT,Student in an Organized Health Care Education/Training Program,73,0,0,0%
1639211931,AHUJA,AJAY,069051904,CT,Internal Medicine,174,0,0,0%
1285857573,AILLEO,ROBERT,068072524,CT,Dentist,70,0,0,0%
1811005713,AITHAL,KESHAVA,064574747,CT,Cardiology,7207,0,0,0%
1902870280,AIUDI,DONNA,060335007,CT,Dermatology,534,0,0,0%
1275762239,AJAYI,FOLASADE,060300001,CT,Student in an Organized Health Care Education/Training Program,241,1,11,4.56%
1477731461,AJAZ,FATIMA,060300001,CT,Student in an Organized Health Care Education/Training Program,19,0,0,0%
1558467266,AJJAGOTTU,VIJAYA,061112631,CT,Internal Medicine,153,0,0,0%
1942550991,AJRO,ANTIGONA,067903060,CT,Nurse Practitioner,193,0,0,0%
1073709259,AKANDE,OLUKEMI,065048900,CT,Internal Medicine,17,0,0,0%
1558430058,AKAR,JOSEPH,065208017,CT,Cardiology,318,0,0,0%
1427079789,AKEYSON,EDWARD,064512121,CT,Neurosurgery,361,5,146,40.44%
1710211669,AKHTAR,SYED,065103220,CT,Internal Medicine,15,0,0,0%
1295000545,AKINNIYI,DEBORAH,065103220,CT,Student in an Organized Health Care Education/Training Program,31,0,0,0%
1790031318,AKINPELU,OYINKANSOLA,06519,CT,Nurse Practitioner,681,1,11,1.62%
1760625289,AKPAN,IMO,06510,CT,Internal Medicine,2522,6,194,7.69%
1558676841,AKRAM,YASIR,064181326,CT,Internal Medicine,24,0,0,0%
1568462760,AKUS,JAN,063602915,CT,Internal Medicine,3699,3,92,2.49%
1912282948,AL KHALIL,IMRAN,065103220,CT,Hospitalist,465,0,0,0%
1093717837,AL MOUNAYER,MUHAMMAD,06492,CT,Internal Medicine,173,0,0,0%
1427397926,AL ZAHMI,FATMAH,060300001,CT,Student in an Organized Health Care Education/Training Program,104,0,0,0%
1437388352,AL--BARWANI,AALIA,061062501,CT,Family Practice,552,1,22,3.99%
1861477069,AL-KHAYER,FADI,062681659,CT,Endocrinology,1838,0,0,0%
1174816094,ALAEE,FARHANG,060300001,CT,Student in an Organized Health Care Education/Training Program,15,0,0,0%
1609148477,ALAHMADI,HUSSEIN,060512636,CT,Neurosurgery,119,2,51,42.86%
1417029877,ALAIGH,RAVINDER,069055466,CT,Family Practice,1374,0,0,0%
1689766552,ALAIGH,SADHNA,069055466,CT,Family Practice,586,0,0,0%
1467529271,ALAM,MALLICK,065133906,CT,Family Practice,294,0,0,0%
1588645410,ALAPARTHI,LATHA,065183691,CT,Gastroenterology,1631,1,21,1.29%
1003072786,ALASIL,TAREK,065103220,CT,Internal Medicine,231,0,0,0%
1336371566,ALBAJRAMI,OLTJON,067061253,CT,Internal Medicine,68,0,0,0%
1730480773,ALBERGHINI,LEA,067021418,CT,Nurse Practitioner,18,0,0,0%
1407878754,ALBERGO,PATRICK,061073443,CT,Ophthalmology,1697,0,0,0%
1891714424,ALBERO,ANGELA,065191369,CT,Physician Assistant,178,0,0,0%
1124291448,ALBERT,ROSS,061065501,CT,Internal Medicine,1452,4,81,5.58%
1003960360,ALBERT,RONALD,060421771,CT,Dentist,13,0,0,0%
1720120041,ALBERT,JOEL,068832203,CT,Neuropsychiatry,161,0,0,0%
1124021183,ALBERTI,ALFRED,060513916,CT,Internal Medicine,13213,7,332,2.51%
1821101080,ALBERTI,PAUL,064732304,CT,Otolaryngology,372,0,0,0%
1811992639,ALBERTSEN,PETER,060300001,CT,Urology,862,0,0,0%
1730134107,ALBINI,GLORIANN,066115343,CT,Nurse Practitioner,74,0,0,0%
1518921907,ALBINI,MARK,067061127,CT,Obstetrics/Gynecology,270,0,0,0%
1497917405,ALBORES,JEFFREY M C,061065008,CT,Student in an Organized Health Care Education/Training Program,98,0,0,0%
1568445435,ALBRECHT,RICHARD,063331735,CT,General Practice,1960,4,113,5.77%
1144225970,ALBRESKI,DOUGLAS,060300001,CT,Podiatry,369,0,0,0%
1609892058,ALBRIGHT,MELANIE,066113463,CT,Certified Nurse Midwife,38,0,0,0%
1851605661,ALBUQUERQUE,FELIPE,065114405,CT,Student in an Organized Health Care Education/Training Program,389,0,0,0%
1528370731,ALCALDE PRESEDO,LUIS,060300001,CT,Student in an Organized Health Care Education/Training Program,18,0,0,0%
1992910566,ALCANTARA,AURORA,068105128,CT,Psychiatry & Neurology,142,0,0,0%
1891866059,ALCANTARA-CADILLO,DELLY,065208237,CT,Internal Medicine,84,0,0,0%
1225091713,ALCEDO,FRANCIS,066115343,CT,Internal Medicine,9296,4,226,2.43%
1417245499,ALDAAS,FADI,066102805,CT,Student in an Organized Health Care Education/Training Program,193,0,0,0%
1962544098,ALDAY,GUSTAVO,068106099,CT,Internal Medicine,129,0,0,0%
1760724165,ALDEN,JOHN,060022276,CT,Family Practice,18,0,0,0%
1902839871,ALDER,WILLIAM,061054230,CT,Psychiatry & Neurology,376,0,0,0%
1437146057,ALEALI,SEYED,068246232,CT,Hematology/Oncology,2234,1,26,1.16%
1447318589,ALEDORT,ROBERT,06811,CT,Dentist,26,0,0,0%
1558495689,ALEKSHUN,TODD,061065501,CT,Hematology/Oncology,1388,6,137,9.87%
1447285986,ALESSANDRO,JOSEPH,062392929,CT,Geriatric Medicine,28055,12,1038,3.7%
1174573612,ALESSI,ANTHONY,063602700,CT,Neurology,212,0,0,0%
1316975535,ALEXANDER,LISA,06492,CT,Nurse Practitioner,729,1,13,1.78%
1306825260,ALEXANDER,JAMES,068246611,CT,Psychiatry,1302,1,11,0.84%
1245397090,ALEXANDER,CHARLES,068901466,CT,Psychiatry,1160,0,0,0%
1427171263,ALEXANDER,GERALD,065115608,CT,Dentist,24,0,0,0%
1346361284,ALEXANDER,ROBERT,061072227,CT,Dentist,35,0,0,0%
1871671156,ALEXANDER,VICTOR,063602470,CT,Emergency Medicine,425,1,62,14.59%
1568449262,ALEXANDER,NANETTE,060332223,CT,Nurse Practitioner,4753,4,170,3.58%
1710921754,ALEXANDER,JONATHAN,068106099,CT,Cardiology,2701,0,0,0%
1487687570,ALFIRII,ALINA,065114405,CT,Infectious Disease,731,0,0,0%
1215230248,ALFONSI,AMBROSE,06489,CT,General Surgery,16,0,0,0%
1841583994,ALFONSO,HEATHER,064181326,CT,Nurse Practitioner,12653,28,8532,67.43%
1932337326,ALFONZO,MICHAEL,065103220,CT,Student in an Organized Health Care Education/Training Program,137,0,0,0%
1194923128,ALI,SYED,061051208,CT,Internal Medicine,462,0,0,0%
1063464261,ALI,AURANGZEB,064512121,CT,General Surgery,327,4,92,28.13%
1134477599,ALI,MAHBOOB,066064201,CT,Internal Medicine,21,0,0,0%
1942530977,ALI,IFTIKHAR,068106099,CT,Nuclear Medicine,15,0,0,0%
1730414863,ALI,SAMAN,061202508,CT,Internal Medicine,1911,1,19,0.99%
1699836494,ALI,RUBINA,061083123,CT,Dentist,29,0,0,0%
1497031181,ALICEA,ROCIO,064773649,CT,Optometry,449,0,0,0%
1205040219,ALIMONTI,LOIS,060692096,CT,Nurse Practitioner,119,0,0,0%
1760577670,ALIOTTA,GUY,064512101,CT,Anesthesiology,38,0,0,0%
1023083771,ALIYU,OLUREMI,065191233,CT,Internal Medicine,16,0,0,0%
1003857707,ALJANABY,MOHAMMAD,061191853,CT,Physical Medicine and Rehabilitation,87,0,0,0%
1821359704,ALJAWHARY,NOHA,061054542,CT,Student in an Organized Health Care Education/Training Program,17,0,0,0%
1992996078,ALKASS,RAMZI,060300001,CT,Obstetrics/Gynecology,185,0,0,0%
1174795751,ALKHATIB,ABED,066061804,CT,Oral Surgery (dentists only),157,2,56,35.67%
1699786848,ALLAM,ABDEL,060105266,CT,Otolaryngology,103,0,0,0%
1538276159,ALLAN,THOMAS,06117,CT,Obstetrics/Gynecology,509,0,0,0%
1326155367,ALLARD,ELIZABETH,063204956,CT,Family Practice,3849,8,255,6.63%
1760717359,ALLATIN,MARILYN,06457,CT,Nurse Practitioner,229,0,0,0%
1407043557,ALLATIN,ASHLEY,064512101,CT,Physician Assistant,31,0,0,0%
1700949179,ALLEGRINI,MICHAEL,064372003,CT,Physician Assistant,3375,2,49,1.45%
1922106053,ALLEMAN,KIM,06102,CT,Nurse Practitioner,3857,0,0,0%
1639438971,ALLEMAN,MATTHEW,065103220,CT,Student in an Organized Health Care Education/Training Program,31,0,0,0%
1659393999,ALLEN,HENRY,064603142,CT,Psychiatry,753,0,0,0%
1710232947,ALLEN,AUDREY,063204700,CT,Certified Clinical Nurse Specialist,173,0,0,0%
1700967601,ALLEN,EDWARD,064372101,CT,Psychiatry & Neurology,22,0,0,0%
1720047921,ALLEN,TERESA,062601836,CT,Emergency Medicine,12,0,0,0%
1760556955,ALLEN,JOEL,06605,CT,Obstetrics/Gynecology,23,0,0,0%
1821060369,ALLEN,WILLIAM,064573654,CT,Emergency Medicine,70,0,0,0%
1497065353,ALLEN,EDWARD,06905,CT,Dentist,14,0,0,0%
1538242094,ALLEN,JONATHAN,064507044,CT,Psychiatry,182,0,0,0%
1588690374,ALLEN,JERILYN,062262122,CT,Otolaryngology,294,0,0,0%
1881892529,ALLEN,BRIAN,060321936,CT,General Surgery,54,2,25,46.3%
1891871273,ALLEN,JOHN,063204606,CT,Dentist,16,0,0,0%
1003934282,ALLEN,CHRISTOPHER,068514903,CT,Certified Clinical Nurse Specialist,52,0,0,0%
1013913524,ALLEN,SCOTT,060300001,CT,Internal Medicine,2978,6,184,6.18%
1932115128,ALLEN,RICHARD,064506600,CT,Urology,2327,1,24,1.03%
1174800031,ALLEN,CAROLYN,067061253,CT,Physician Assistant,190,1,15,7.89%
1154393502,ALLEN,JOHN,065102715,CT,Gastroenterology,192,0,0,0%
1124205661,ALLEN,JEREMY,060522016,CT,Physician Assistant,324,2,45,13.89%
1285748434,ALLEN,HENRY,067763427,CT,Family Practice,3068,1,23,0.75%
1376854141,ALLEN,SARAH,066102805,CT,Specialist,37,0,0,0%
1518938778,ALLEVA,ANTHONY,068306098,CT,Internal Medicine,5995,3,41,0.68%
1316991136,ALLEYNE,KENNETH,060745539,CT,Orthopedic Surgery,401,3,98,24.44%
1144403817,ALLGOOD,MONIQUE,064573946,CT,Nurse Practitioner,222,0,0,0%
1497870273,ALLIGER,JASON,067083022,CT,Dentist,35,0,0,0%
1194790329,ALLISON,SANDRA,065183222,CT,Physician Assistant,333,0,0,0%
1881662450,ALLOY,STEPHEN,060422003,CT,Psychiatry,2981,0,0,0%
1760740161,ALLY,IMRAN,068106099,CT,Student in an Organized Health Care Education/Training Program,158,1,16,10.13%
1750635801,ALLY,INSAF,063204621,CT,Internal Medicine,78,0,0,0%
1588633036,ALMEIDA,CARLOS,06712,CT,Internal Medicine,6055,6,125,2.06%
1932258373,ALMEIDA,ALICIA,067702836,CT,Dentist,27,0,0,0%
1457592164,ALMEIDA-MCGLOTTEN,DINA,064891851,CT,Nurse Practitioner,907,6,273,30.1%
1164684528,ALMOUZAYN,MOUMEN,060300001,CT,Student in an Organized Health Care Education/Training Program,102,0,0,0%
1093725970,ALONSO,LISA,064574773,CT,Pediatric Medicine,30,0,0,0%
1770802357,ALONZO,CATHERINE,068304501,CT,Urology,699,0,0,0%
1912149238,ALOSCO,LOUIS,06810,CT,Pediatric Medicine,30,0,0,0%
1215124698,ALOSCO,THOMAS,067083122,CT,General Surgery,119,0,0,0%
1558449868,ALPER,MICHAEL,068041711,CT,Emergency Medicine,477,1,18,3.77%
1972762581,ALPEROVICH,MICHAEL,068254315,CT,Student in an Organized Health Care Education/Training Program,39,1,13,33.33%
1316910185,ALPERT,LANCE,06040,CT,Optometry,86,0,0,0%
